,score,time
0,1.4015789430924686,277.001
2,1.3082335469018243,274.073
3,1.4491465152604754,269.448
4,1.281203823438494,270.016
5,1.4046613729265094,272.905
6,1.3560585676094408,272.842
7,1.4168190315055722,272.443
8,1.414165951006163,274.833
9,1.3369917774972193,273.427
1,1.375389286364482,273.915
10,1.4105745739249416,276.053
11,1.3970632944685955,272.91
12,1.527105729239781,269.364
13,1.379767665426344,269.735
14,1.3662667552592402,281.246
285,1.4138698512122907,261.577
286,1.412144472107223,273.275
287,1.4014391085240878,329.33
288,1.3970152452873659,307.458
289,1.342284627854768,292.332
290,1.485781115475715,283.092
291,1.3592714936383736,283.406
298,1.365440917346441,289.593
299,1.3188791191818245,291.783
292,1.4426992644275691,293.45
293,1.332622128206559,295.787
294,1.4207101440727674,313.595
295,1.3532898920267529,293.048
296,1.3075401293672637,290.152
297,1.2819174963450073,298.749
